config ok
listening on 9999
port open. Data rate: 9600
2023-09-21T07:11:49.354Z <Buffer 2d>
2023-09-21T07:11:49.355Z <Buffer 2d>
2023-09-21T07:11:49.356Z <Buffer 2d>
2023-09-21T07:11:49.357Z <Buffer 2d>
2023-09-21T07:11:49.358Z <Buffer 2d>
2023-09-21T07:11:49.359Z <Buffer 2d>
2023-09-21T07:11:49.360Z <Buffer 2d>
2023-09-21T07:11:49.361Z <Buffer 2d>
2023-09-21T07:11:49.362Z <Buffer 2d>
2023-09-21T07:11:49.363Z <Buffer 2d>
2023-09-21T07:11:49.364Z <Buffer 2d>
2023-09-21T07:11:49.365Z <Buffer 2d>
2023-09-21T07:11:49.366Z <Buffer 2d>
2023-09-21T07:11:49.367Z <Buffer 2d>
2023-09-21T07:11:49.368Z <Buffer 2d>
2023-09-21T07:11:49.369Z <Buffer 2d>
2023-09-21T07:11:49.370Z <Buffer 2d>
2023-09-21T07:11:49.372Z <Buffer 2d>
2023-09-21T07:11:49.373Z <Buffer 2d>
2023-09-21T07:11:49.374Z <Buffer 2d>
2023-09-21T07:11:49.375Z <Buffer 2d>
2023-09-21T07:11:49.376Z <Buffer 2d>
2023-09-21T07:11:49.377Z <Buffer 2d>
2023-09-21T07:11:49.378Z <Buffer 2d>
2023-09-21T07:11:49.379Z <Buffer 2d>
2023-09-21T07:11:49.380Z <Buffer 2d>
2023-09-21T07:11:49.381Z <Buffer 2d>
2023-09-21T07:11:49.382Z <Buffer 2d>
2023-09-21T07:11:49.383Z <Buffer 2d>
2023-09-21T07:11:49.384Z <Buffer 2d>
2023-09-21T07:11:49.385Z <Buffer 2d>
2023-09-21T07:11:49.386Z <Buffer 2d>
2023-09-21T07:11:49.387Z <Buffer 2d>
2023-09-21T07:11:49.388Z <Buffer 2d>
2023-09-21T07:11:49.389Z <Buffer 2d>
2023-09-21T07:11:49.390Z <Buffer 2d>
2023-09-21T07:11:49.391Z <Buffer 2d>
2023-09-21T07:11:49.392Z <Buffer 2d>
2023-09-21T07:11:49.393Z <Buffer 2d>
2023-09-21T07:11:49.394Z <Buffer 2d>
2023-09-21T07:11:49.396Z <Buffer 2d>
2023-09-21T07:11:49.397Z <Buffer 2b>
2023-09-21T07:11:49.398Z <Buffer 1b>
2023-09-21T07:11:49.399Z <Buffer 5b>
2023-09-21T07:11:49.400Z <Buffer 6d>
2023-09-21T07:11:49.401Z <Buffer 1b>
2023-09-21T07:11:49.402Z <Buffer 5b>
2023-09-21T07:11:49.403Z <Buffer 31>
2023-09-21T07:11:49.404Z <Buffer 38>
2023-09-21T07:11:49.405Z <Buffer 3b>
2023-09-21T07:11:49.406Z <Buffer 32>
2023-09-21T07:11:49.407Z <Buffer 48>
2023-09-21T07:11:49.408Z <Buffer 1b>
2023-09-21T07:11:49.409Z <Buffer 5b>
2023-09-21T07:11:49.410Z <Buffer 31>
2023-09-21T07:11:49.411Z <Buffer 39>
2023-09-21T07:11:49.412Z <Buffer 3b>
2023-09-21T07:11:49.413Z <Buffer 32>
2023-09-21T07:11:49.414Z <Buffer 48>
2023-09-21T07:11:49.415Z <Buffer 1b>
2023-09-21T07:11:49.416Z <Buffer 5b>
2023-09-21T07:11:49.417Z <Buffer 6d>
2023-09-21T07:11:49.418Z <Buffer 20>
2023-09-21T07:11:49.419Z <Buffer 20>
2023-09-21T07:11:49.423Z <Buffer 20 20 20>
2023-09-21T07:11:49.424Z <Buffer 55>
2023-09-21T07:11:49.425Z <Buffer 73>
2023-09-21T07:11:49.426Z <Buffer 65>
